Codigo_Depto;Tag;Departamento;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
00;COL;COLOMBIA;2072,290883;2601,331893;3289,212871;4032,181395;5074,932739;6528,791485;8846,879269;11466,86029;15391,79505;19876,22985;26370,96185;34169,7992;44199,87743;58931,94906;77147,06044;96403,40992;117183,8515;141383,0922;163598,4593;177038,2612;200762,3038;219063,3719;237505,5847;268144,0965;302514,6512;337958;381604;428506;476554;501574;544060;619023;666507;714093;762903;804692;863782;920471;987791;1060068;998471;1192634;1469791
05;Ant;Antioquia;343,3243023;438,461257;536,4232831;640,4527666;840,8344716;1078,243766;1520,120823;1909,055777;2666,463473;3357,197358;4512,538454;5700,400955;7169,639699;9484,664364;12214,32507;15227,27086;18100,43119;21935,22055;24721,55306;26639,32936;30614,96568;33433,84855;36336,25885;40636,71013;46292,0025;51006,83699;57285,04772;64513,56195;68424,94882;71308,81497;75981,87142;85578,12207;92318,04368;98572,84854;106818,9613;115446,257;126021,6441;132368,5907;141680,0803;153559,4489;148361,9054;177866,5471;212452,5286
08;Atl;Atlántico;86,57819135;107,8060818;138,8854393;182,1448685;221,8379046;274,2114064;363,3262964;451,8770392;624,128933;842,7187419;1125,081633;1486,183757;1996,174862;2777,031168;3351,24834;4169,146021;4953,633395;6122,288802;6957,160167;7365,244971;8295,869064;8884,036827;9517,769993;10869,43908;12065,60322;13506,77299;15431,79588;18052,02079;19527,1492;20809,21946;21443,2136;23549,40576;26444,98711;29112,42703;32382,66587;35716,29569;38575,3331;40874,78023;43368,86617;46574,75301;44832,64284;52771,07289;63696,43694
11;Bog;Bogotá D.C.;494,0019541;643,3159861;818,6090446;1001,580821;1257,409821;1579,936245;2063,996069;2740,02554;3669,647602;4682,14121;6127,779017;8038,677989;10754,56584;15132,63898;21797,45174;27023,1481;33117,81915;40409,8311;47482,27574;47737,62876;53130,00968;58741,60176;64524,7362;71558,85806;80212,45696;89831,77632;100461,8171;112440,5199;122100,652;130672,4438;139740,3871;152691,3455;164542,1562;177360,9556;191025,6017;206478,4089;221455,5703;236785,8975;253941,0245;273524,3542;260747,4844;303094,4201;361698,0749
13;Bol;Bolívar;55,81677114;65,21196755;78,97048919;106,5250518;134,1934016;175,693307;232,5597125;322,8280901;404,2290026;518,2866679;699,4854122;966,3530082;1357,983004;1723,746479;2150,623541;2660,101994;3233,247177;3757,529753;4545,241351;5020,770765;5635,383306;6377,769259;6917,709407;8899,777667;10281,81461;11169,04776;12844,79631;14687,66072;16047,69129;16432,35712;18363,00389;21489,00908;23078,33285;25858,70306;26623,46239;28105,21129;30917,85885;33393,78052;35410,28621;38285,29897;34625,95132;42255,57447;51643,19136
15;Boy;Boyacá;61,88736852;79,47201745;94,86558091;114,9149798;134,590687;170,9057808;221,4893719;292,4384013;390,5930459;518,1762812;678,6993089;890,4721039;1130,009652;1702,098167;1929,515177;2377,291724;2675,536437;3238,2224;3707,154533;4166,635879;4831,233971;5336,588124;5829,553685;6578,368813;7230,884252;8225,995954;9214,996356;10950,74146;12771,12963;13261,19969;14474,52754;17260,03405;18313,93917;19380,05911;20839,4741;22164,68337;23671,13061;24782,26257;26884,20724;28573,54628;26480,06366;31184,01494;39233,49066
17;Cal;Caldas;42,82073236;52,78802169;66,40717903;87,11116923;106,4377243;135,2729251;191,1468985;246,8125506;310,6308534;401,6291394;528,681353;733,9707791;900,922419;1244,689102;1724,423751;2035,156248;2203,16929;2697,016392;3076,883278;3084,31132;3524,591093;3995,237641;4456,948134;4863,104237;5308,405976;6015,344484;6888,067019;7609,45421;8181,235797;8363,561928;8821,971192;9343,101959;9748,22233;10497,85368;11518,62489;12513,50174;13798,29528;14749,49812;15710,82893;17012,43929;16674,10138;19576,75233;23909,81787
18;Caq;Caquetá;8,927432179;11,30891224;14,28772596;18,97518453;24,02685114;30,0166223;42,55267027;56,55532077;76,27267331;99,79239887;134,3617515;180,8139318;232,0345559;299,7067446;374,996408;427,6426183;481,8005977;591,6144164;675,5671292;642,0087852;741,2387415;836,9707019;840,1973093;1058,010715;1137,132837;1253,958943;1364,998084;1559,856742;1746,327287;1904,369199;1972,130892;2165,800906;2554,30541;2835,584119;3175,189159;3349,867477;3665,700439;3866,274572;4071,614961;4313,452683;4170,644755;4778,224378;5569,983738
19;Cau;Cauca;35,01123698;40,11533138;52,68840155;67,29481061;81,42203313;101,2474417;140,1976453;176,0375726;237,5791924;316,5600324;416,784557;534,8511227;710,1086733;927,4365242;1048,079255;1304,771467;1552,584427;1836,422786;2215,991128;2557,114194;3018,955731;3375,851593;3660,466438;3953,172316;4475,242736;5058,549078;5721,865116;6282,347714;7086,319402;7646,249625;8503,38745;9289,682644;10373,33759;11624,41263;13085,76167;14622,03608;16070,02953;16738,9022;17478,95953;18755,35854;18193,66787;21380,01167;26113,43431
20;Ces;Cesar;31,15065572;39,51470753;46,55737525;56,54324147;69,86167587;96,0431925;129,73116;168,4817617;224,0468319;273,0391129;357,7710776;477,7272814;598,8206799;786,7476453;1051,345915;1375,49787;1678,241148;1922,707252;2216,416122;2435,316725;2622,049955;3141,355055;3523,739061;4408,145302;5558,851365;6461,707878;7402,761913;7971,2211;9789,401738;10334,86843;10890,93587;13247,48906;13975,24304;13383,02419;13653,57718;14570,40249;16992,1025;19550,61197;21262,81049;20724,5285;17710,49639;23302,53905;38282,46524
